Date,Day,Time,Event
2026-05-22,Friday,10:00 AM,Reach DIgha & Snacks
2026-06-14,Sunday,All Day,Noon Return Kolkata
2026-05-22,Friday,02:30 PM,Party at Resturant
2026-06-13,Saturday,All Day,Early Morning DIgha
2026-05-22,Friday,All Day,KOL - DIGHA
2026-05-24,Sunday,All Day,DIGHA - KOL
2026-05-20,Wednesday,03:17 AM,Train to HOWRAH JN (HWH)
2026-06-03,Wednesday,All Day,Stay at Darjeeling
2026-06-03,Wednesday,All Day,Stay at Quiet retreat minutes from Chowrasta
2026-05-18,Monday,07:00 AM,Presentation attack
2026-06-15,Monday,All Day,Return Morning 6 am
2026-06-12,Friday,All Day,Reach Kolkata
2026-05-25,Monday,All Day,RETURN
2026-05-23,Saturday,All Day,DIGHA
